price,ts
62.47,1760467140
62.38,1760467320
62.42,1760467500
62.42,1760467680
62.45,1760467860
62.41,1760468040
62.38,1760468220
62.45,1760468400
62.47,1760468580
62.48,1760468760
62.46,1760468940
62.48,1760469120
62.48,1760469300
62.51,1760469480
62.54,1760469660
62.55,1760469840
62.54,1760470020
62.49,1760470200
62.53,1760470380
62.57,1760470560
62.59,1760470740
62.57,1760470920
62.54,1760471100
62.58,1760471280
62.5,1760471460
62.47,1760471640
62.47,1760471820
62.43,1760472000
62.34,1760472180
62.33,1760472360
62.37,1760472540
62.45,1760472720
62.48,1760472900
62.47,1760473080
62.42,1760473260
62.43,1760473440
62.41,1760473620
62.52,1760473800
62.45,1760473980
62.43,1760474160
62.46,1760474340
62.45,1760474520
62.5,1760474700
62.52,1760474880
62.53,1760475060
62.56,1760475240
62.53,1760475420
62.47,1760475600
62.44,1760475780
62.4,1760475960
62.39,1760476140
62.4,1760476320
62.42,1760476500
62.4,1760476680
62.41,1760476860
62.41,1760477040
62.41,1760477220
62.36,1760477400
62.33,1760477580
62.18,1760477760
62.11,1760477940
62.08,1760478120
62.1,1760478300
62.12,1760478480
62.11,1760478660
62.13,1760478840
62.12,1760479020
62.19,1760479200
62.2,1760479380
62.19,1760479560
62.14,1760479740
62.15,1760479920
62.19,1760480100
62.21,1760480280
62.2,1760480460
62.26,1760480640
62.29,1760480820
62.34,1760481000
62.34,1760481180
62.34,1760481360
62.36,1760481540
62.32,1760481720
62.33,1760481900
62.24,1760482080
62.23,1760482260
62.25,1760482440
62.25,1760482620
62.26,1760482800
62.28,1760483160
62.24,1760483340
62.25,1760483520
62.21,1760484420
62.26,1760484780
62.29,1760484960
62.29,1760485320
62.3,1760485680
62.28,1760486220
62.31,1760493600
62.29,1760493780
62.28,1760493960
62.29,1760494140
62.31,1760494320
62.28,1760494500
62.27,1760494680
62.27,1760494860
62.25,1760495040
62.27,1760495220
62.26,1760495400
62.26,1760495580
62.26,1760495760
62.28,1760495940
62.31,1760496120
62.32,1760496300
62.29,1760496480
62.29,1760496660
62.3,1760496840
62.29,1760497020
62.27,1760497200
62.33,1760497380
62.33,1760497560
62.3,1760497740
62.31,1760497920
62.33,1760498100
62.31,1760498280
62.3,1760498460
62.34,1760498640
62.29,1760498820
62.25,1760499000
62.25,1760499180
62.26,1760499360
62.21,1760499540
62.24,1760499720
62.29,1760499900
62.26,1760500080
62.27,1760500260
62.32,1760500440
62.3,1760500620
62.32,1760500800
62.34,1760500980
62.32,1760501160
62.33,1760501340
62.33,1760501520
62.34,1760501700
62.39,1760501880
62.4,1760502060
62.39,1760502240
62.36,1760502420
62.29,1760502600
62.27,1760502780
62.23,1760502960
62.24,1760503140
62.23,1760503320
62.2,1760503500
62.18,1760503680
62.19,1760503860
62.15,1760504040
62.14,1760504220
62.12,1760504400
62.07,1760504580
62.04,1760504760
62.1,1760504940
62.07,1760505120
62.09,1760505300
62.1,1760505480
62.11,1760505660
62.16,1760505840
62.14,1760506020
62.24,1760506200
62.25,1760506380
62.27,1760506560
62.23,1760506740
62.23,1760506920
62.22,1760507100
62.2,1760507460
62.17,1760507640
62.16,1760507820
62.13,1760508000
62.14,1760508180
62.11,1760508360
62.12,1760508540
62.13,1760508720
62.17,1760508900
62.17,1760509080
62.17,1760509260
62.18,1760509440
62.18,1760509620
62.2,1760509800
62.18,1760509980
62.17,1760510160
62.16,1760510340
62.18,1760510520
62.18,1760510700
62.18,1760510880
62.16,1760511060
62.16,1760511240
62.17,1760511420
62.21,1760511600
62.23,1760511780
62.28,1760511960
62.28,1760512140
62.28,1760512320
62.28,1760512500
62.25,1760512680
62.23,1760512860
62.22,1760513040
62.21,1760513220
62.19,1760513400
62.21,1760513580
62.21,1760513760
62.18,1760513940
62.2,1760514120
62.19,1760514300
62.24,1760514480
62.24,1760514660
62.25,1760514840
62.22,1760515020
62.28,1760515200
62.34,1760515380
62.27,1760515560
62.3,1760515740
62.4,1760515920
62.43,1760516100
62.42,1760516280
62.4,1760516460
62.35,1760516640
62.3,1760516820
62.29,1760517000
62.34,1760517180
62.28,1760517360
62.29,1760517540
62.3,1760517720
62.34,1760517900
62.37,1760518080
62.4,1760518260
62.39,1760518440
62.34,1760518620
62.22,1760518800
62.31,1760518980
62.27,1760519160
62.23,1760519340
62.2,1760519520
62.24,1760519700
62.15,1760519880
62.15,1760520060
62.19,1760520240
62.21,1760520420
62.19,1760520600
62.15,1760520780
62.16,1760520960
62.24,1760521140
62.32,1760521320
62.28,1760521500
62.31,1760521680
62.34,1760521860
62.32,1760522040
62.32,1760522220
62.37,1760522400
62.35,1760522580
62.34,1760522760
62.43,1760522940
62.41,1760523120
62.46,1760523300
62.48,1760523480
62.49,1760523660
62.51,1760523840
62.42,1760524020
62.43,1760524200
62.48,1760524380
62.41,1760524560
62.35,1760524740
62.25,1760524920
62.2,1760525100
62.2,1760525280
62.18,1760525460
62.28,1760525640
62.29,1760525820
62.45,1760526000
62.46,1760526180
62.4,1760526360
62.32,1760526540
62.38,1760526720
62.38,1760526900
62.36,1760527080
62.3,1760527260
62.34,1760527440
62.36,1760527620
62.3,1760527800
62.3,1760527980
62.21,1760528160
62.23,1760528340
62.23,1760528520
62.27,1760528700
62.3,1760528880
62.36,1760529060
62.35,1760529240
62.34,1760529420
62.36,1760529600
62.34,1760529780
62.35,1760529960
62.43,1760530140
62.45,1760530320
62.46,1760530500
62.41,1760530680
62.41,1760530860
62.36,1760531040
62.37,1760531220
62.32,1760531400
62.32,1760531580
62.29,1760531760
62.25,1760531940
62.24,1760532120
62.28,1760532300
62.35,1760532480
62.36,1760532660
62.36,1760532840
62.31,1760533020
62.25,1760533200
62.32,1760533380
62.33,1760533560
62.26,1760533740
62.28,1760533920
62.27,1760534100
62.32,1760534280
62.31,1760534460
62.35,1760534640
62.42,1760534820
62.47,1760535000
62.49,1760535180
62.46,1760535360
62.46,1760535540
62.41,1760535720
62.42,1760535900
62.38,1760536080
62.35,1760536260
62.41,1760536440
62.48,1760536620
62.47,1760536800
62.44,1760536980
62.49,1760537160
62.59,1760537340
62.64,1760537520
62.7,1760537700
62.73,1760537880
62.74,1760538060
62.75,1760538240
62.75,1760538420
62.68,1760538600
62.7,1760538780
62.65,1760538960
62.65,1760539140
62.64,1760539320
62.69,1760539500
62.73,1760539680
62.81,1760539860
63.01,1760540040
62.91,1760540220
62.8,1760540400
62.81,1760540580
62.84,1760540760
62.84,1760540940
62.86,1760541120
62.87,1760541300
62.84,1760541480
62.85,1760541660
62.75,1760541840
62.77,1760542020
62.85,1760542200
62.77,1760542380
62.7,1760542560
62.67,1760542740
62.63,1760542920
62.55,1760543100
62.58,1760543280
62.5,1760543460
62.54,1760543640
62.57,1760543820
62.58,1760544000
62.57,1760544180
62.57,1760544360
62.51,1760544540
62.56,1760544720
62.51,1760544900
62.52,1760545080
62.52,1760545260
62.51,1760545440
62.47,1760545620
62.47,1760545800
62.54,1760545980
62.51,1760546160
62.52,1760546340
62.55,1760546520
62.51,1760546700
62.49,1760546880
62.46,1760547060
62.39,1760547240
62.3,1760547420
62.33,1760547600
62.29,1760547780
62.22,1760547960
62.16,1760548140
62.02,1760548320
62,1760548500
62.02,1760548680
62.02,1760548860
62.12,1760549040
62.07,1760549220
62.05,1760549400
61.98,1760549580
61.99,1760549760
62.03,1760549940
62.02,1760550120
62,1760550300
62.03,1760550480
62,1760550660
62.04,1760550840
61.99,1760551020
62.02,1760551200
61.99,1760551380
61.93,1760551560
61.82,1760551740
61.94,1760551920
61.85,1760552100
61.85,1760552280
61.85,1760552460
61.85,1760552640
61.86,1760552820
61.85,1760553000
61.84,1760553180
61.86,1760553360
61.81,1760553540
61.91,1760553720
61.91,1760553900
61.99,1760554080
62.01,1760554260
62.05,1760554440
62.13,1760554620
62.13,1760554800
62.1,1760554980
62.07,1760555160
61.92,1760555340
61.91,1760555520
61.91,1760555700
61.86,1760555880
61.88,1760556060
61.97,1760556240
61.94,1760556420
61.99,1760556600
62.06,1760556780
62.08,1760556960
62.05,1760557140
62.06,1760557320
62.01,1760557500
62.04,1760557680
62,1760557860
62,1760558040
61.97,1760558220
61.99,1760558400
61.93,1760558580
61.96,1760558760
61.97,1760558940
61.99,1760559120
61.97,1760559300
61.97,1760559480
61.89,1760559660
61.95,1760559840
61.94,1760560020
61.91,1760560200
61.96,1760560380
62,1760560560
62.07,1760560740
62.1,1760560920
62.1,1760561100
62.13,1760561280
62.12,1760561460
62.13,1760561640
62.2,1760561820
62.2,1760562000
62.19,1760562180
62.17,1760562360
62.19,1760562540
62.19,1760562720
62.24,1760562900
62.26,1760563080
62.28,1760563260
62.3,1760563440
62.27,1760563620
62.25,1760563800
62.21,1760563980
62.19,1760564160
62.17,1760564340
62.16,1760564520
62.17,1760564700
62.13,1760564880
62.11,1760565060
62.12,1760565240
62.13,1760565420
62.15,1760565600
62.15,1760565780
62.24,1760565960
62.23,1760566140
62.23,1760566320
62.24,1760566500
62.31,1760566680
62.34,1760566860
62.43,1760567040
62.4,1760567220
62.46,1760567400
62.44,1760567580
62.46,1760567760
62.44,1760567940
62.4,1760568120
62.42,1760568300
62.43,1760568480
62.45,1760568660
62.46,1760568840
62.43,1760569020
62.42,1760569200
62.43,1760569380
62.44,1760569560
62.45,1760569740
62.45,1760569920
62.45,1760570100
62.41,1760570280
62.4,1760570460
62.42,1760570820
62.4,1760571000
62.4,1760571180
62.4,1760571360
62.4,1760571540
62.4,1760571720
62.4,1760571900
62.4,1760572080
62.45,1760572260
62.45,1760572440
62.47,1760572620
62.51,1760580000
62.51,1760580180
62.57,1760580360
62.6,1760580540
62.66,1760580720
62.64,1760580900
62.61,1760581080
62.59,1760581260
62.57,1760581440
62.51,1760581620
62.48,1760581800
62.47,1760581980
62.45,1760582160
62.49,1760582340
62.5,1760582520
62.46,1760582700
62.45,1760582880
62.46,1760583060
62.5,1760583240
62.45,1760583420
62.43,1760583600
62.49,1760583780
62.5,1760583960
62.45,1760584140
62.42,1760584320
62.42,1760584500
62.42,1760584680
62.37,1760584860
62.34,1760585040
62.34,1760585220
62.36,1760585400
62.34,1760585580
62.35,1760585760
62.36,1760585940
62.39,1760586120
62.4,1760586300
62.39,1760586480
62.41,1760586660
62.41,1760586840
62.37,1760587020
62.39,1760587200
62.4,1760587380
62.41,1760587560
62.38,1760587740
62.38,1760587920
62.39,1760588100
62.42,1760588280
62.42,1760588460
62.42,1760588640
62.39,1760588820
62.33,1760589000
62.4,1760589180
62.4,1760589360
62.36,1760589540
62.34,1760589720
62.32,1760589900
62.34,1760590080
62.34,1760590260
62.34,1760590440
62.37,1760590620
62.35,1760590800
62.38,1760590980
62.37,1760591160
62.39,1760591340
62.37,1760591520
62.41,1760591700
62.44,1760591880
62.42,1760592060
62.39,1760592240
62.37,1760592420
62.38,1760592600
62.39,1760592780
62.38,1760592960
62.4,1760593140
62.4,1760593320
62.38,1760593500
62.37,1760593680
62.39,1760593860
62.39,1760594040
62.47,1760594220
62.44,1760594400
62.45,1760594580
62.49,1760594760
62.47,1760594940
62.49,1760595120
62.5,1760595300
62.49,1760595480
62.47,1760595660
62.47,1760595840
62.45,1760596020
62.47,1760596200
62.46,1760596380
62.46,1760596740
62.46,1760596920
62.47,1760597100
62.47,1760597280
62.47,1760597460
62.47,1760597640
62.47,1760597820
62.47,1760598000
62.45,1760598180
62.43,1760598360
62.43,1760598540
62.42,1760598720
62.41,1760598900
62.41,1760599080
62.37,1760599260
62.31,1760599440
62.3,1760599620
62.36,1760599800
62.35,1760599980
62.34,1760600160
62.41,1760600340
62.4,1760600520
62.31,1760600700
62.38,1760600880
62.37,1760601060
62.41,1760601240
62.4,1760601420
62.41,1760601600
62.42,1760601780
62.4,1760601960
62.41,1760602140
62.38,1760602320
62.39,1760602500
62.38,1760602680
62.41,1760602860
62.39,1760603040
62.46,1760603220
62.51,1760603400
62.53,1760603580
62.48,1760603760
62.45,1760603940
62.47,1760604120
62.48,1760604300
62.48,1760604480
62.46,1760604660
62.48,1760604840
62.44,1760605020
62.43,1760605200
62.45,1760605380
62.47,1760605560
62.44,1760605740
62.43,1760605920
62.51,1760606100
62.35,1760606280
62.43,1760606460
62.46,1760606640
62.51,1760606820
62.55,1760607000
62.58,1760607180
62.52,1760607360
62.48,1760607540
62.5,1760607720
62.57,1760607900
62.64,1760608080
62.66,1760608260
62.72,1760608440
62.66,1760608620
62.64,1760608800
62.62,1760608980
62.36,1760609160
62.47,1760609340
62.43,1760609520
62.37,1760609700
62.41,1760609880
62.38,1760610060
62.36,1760610240
62.38,1760610420
62.42,1760610600
62.4,1760610780
62.39,1760610960
62.38,1760611140
62.39,1760611320
62.34,1760611500
62.39,1760611680
62.33,1760611860
62.29,1760612040
62.32,1760612220
62.34,1760612400
62.29,1760612580
62.34,1760612760
62.4,1760612940
62.26,1760613120
62.27,1760613300
62.28,1760613480
62.22,1760613660
62.2,1760613840
62.19,1760614020
62.13,1760614200
62.21,1760614380
62.26,1760614560
62.25,1760614740
62.19,1760614920
62.17,1760615100
62.11,1760615280
62.09,1760615460
62.12,1760615640
62.11,1760615820
62.11,1760616000
62.13,1760616180
62.21,1760616360
62.19,1760616540
62.16,1760616720
62.19,1760616900
62.17,1760617080
62.2,1760617260
62.12,1760617440
62.09,1760617620
62.13,1760617800
62.21,1760617980
62.26,1760618160
62.23,1760618340
62.25,1760618520
62.22,1760618700
62.3,1760618880
62.27,1760619060
62.28,1760619240
62.27,1760619420
62.35,1760619600
62.32,1760619780
62.38,1760619960
62.34,1760620140
62.41,1760620320
62.37,1760620500
62.36,1760620680
62.35,1760620860
62.37,1760621040
62.5,1760621220
62.45,1760621400
62.46,1760621580
62.5,1760621760
62.45,1760621940
62.39,1760622120
62.37,1760622300
62.35,1760622480
62.35,1760622660
62.36,1760622840
62.26,1760623020
62.23,1760623200
62.28,1760623380
62.24,1760623560
62.26,1760623740
62.24,1760623920
62.22,1760624100
62.17,1760624280
62.23,1760624460
62.21,1760624640
62.24,1760624820
62.26,1760625000
62.3,1760625180
62.26,1760625360
62.19,1760625540
62.27,1760625720
62.3,1760625900
62.2,1760626080
62.2,1760626260
62.22,1760626440
62.13,1760626620
62.09,1760626800
62.09,1760626980
62.13,1760627160
62.13,1760627340
62.13,1760627520
62.21,1760627700
62.23,1760627880
62.23,1760628060
62.16,1760628240
62.23,1760628420
62.17,1760628600
62.21,1760628780
62.1,1760628960
61.99,1760629140
61.99,1760629320
61.97,1760629500
